Алгоритм,Случай,Размер (байт),Время (сек),ΔВремя,Память (байт),ΔПамять
boyer_moore,best,1024,8.2e-06,1.4e-07,476.0,0.0
boyer_moore,best,2048,2.381e-05,2.2e-07,476.0,0.0
boyer_moore,best,4096,3.496e-05,2.18e-06,568.0,0.0
boyer_moore,best,8192,7.738e-05,6.08e-06,568.0,0.0
boyer_moore,best,16384,0.00014362,1.18e-06,568.0,0.0
boyer_moore,best,32768,0.00032689,1.726e-05,568.0,0.0
boyer_moore,best,65536,0.00058574,3.08e-06,568.0,0.0
boyer_moore,best,131072,0.00130977,6.064e-05,611.0,86.0
boyer_moore,best,262144,0.00253058,0.00010078,568.0,0.0
boyer_moore,best,524288,0.00537798,0.00029755,568.0,0.0
boyer_moore,best,1048576,0.01088213,0.00062932,633.0,133.0
boyer_moore,best,2097152,0.02190639,0.00126254,649.0,168.0
boyer_moore,best,4194304,0.04077723,0.00163289,671.0,215.0
boyer_moore,best,8388608,0.08471961,0.00494841,864.0,431.0
boyer_moore,best,16777216,0.16198873,0.00725491,1279.0,931.0
boyer_moore,random,1024,3.023e-05,2.5652234340908495e-06,508.0,19.500216225366245
boyer_moore,random,2048,2.795e-05,1.6083490161048636e-06,508.0,41.52335304343367
boyer_moore,random,4096,5.146e-05,5.2238176046586534e-06,508.0,14.644328366839135
boyer_moore,random,8192,0.00086619,9.412568069511831e-05,508.0,11.329761301807961
boyer_moore,random,16384,0.00125669,7.782288731950112e-05,507.0,24.03635426920668
boyer_moore,random,32768,0.00216087,0.00026168869788472765,664.0,52.941313280632535
boyer_moore,random,65536,0.00141426,8.799196444262337e-05,664.0,15.150535916763742
boyer_moore,random,131072,0.02344902,0.0011821256995507286,750.0,54.386416451085715
boyer_moore,random,262144,0.00097745,7.645547111396603e-05,664.0,42.95848282188988
boyer_moore,random,524288,0.02934362,0.003211749120511813,776.0,58.943660051940874
boyer_moore,random,1048576,0.03888092,0.005158121132906726,795.0,36.198470129452694
boyer_moore,random,2097152,0.01298431,0.0012924682884270032,745.0,52.33000142498138
boyer_moore,random,4194304,0.0229592,0.002387148566167586,767.0,32.65909127880799
boyer_moore,random,8388608,0.52350376,0.05001770460109346,2887.0,239.1572010035745
boyer_moore,random,16777216,4.79098649,0.5021186307124769,3036.0,265.56159603958093
boyer_moore,worst,1024,5.35e-06,3.7e-07,507.0,1.0
boyer_moore,worst,2048,7.69e-06,2.5e-07,508.0,0.0
boyer_moore,worst,4096,1.448e-05,2.7e-07,508.0,0.0
boyer_moore,worst,8192,2.262e-05,5.41e-06,508.0,0.0
boyer_moore,worst,16384,3.067e-05,2.4e-07,508.0,0.0
boyer_moore,worst,32768,7.196e-05,4.8e-06,508.0,0.0
boyer_moore,worst,65536,0.00016871,7.06e-06,508.0,0.0
boyer_moore,worst,131072,0.00030736,1.748e-05,508.0,0.0
boyer_moore,worst,262144,0.00049981,2.384e-05,508.0,0.0
boyer_moore,worst,524288,0.0009777,4.332e-05,508.0,0.0
boyer_moore,worst,1048576,0.00216546,0.00012723,508.0,0.0
boyer_moore,worst,2097152,0.0044459,0.00029906,508.0,0.0
boyer_moore,worst,4194304,0.0083445,0.00077004,508.0,0.0
boyer_moore,worst,8388608,0.01730742,0.00153149,656.0,315.0
boyer_moore,worst,16777216,0.0308578,0.00090958,508.0,0.0
kmp,best,1024,3.808e-05,1.888e-05,1240.0,0.0
kmp,best,2048,3.519e-05,3e-07,2056.0,0.0
kmp,best,4096,7.943e-05,4.18e-06,8576.0,0.0
kmp,best,8192,0.0002095,1.282e-05,24976.0,0.0
kmp,best,16384,0.0003422,2.846e-05,57736.0,0.0
kmp,best,32768,0.00069202,3.595e-05,123256.0,0.0
kmp,best,65536,0.00123777,2.465e-05,254336.0,0.0
